Driver,DriverNumber,Team,LapNumber,LapTime,Stint,Compound,TyreLife,LapStartTime,TrackStatus,IsAccurate,AirTemp,TrackTemp,Humidity,Pressure,Rainfall,WindSpeed,WindDirection
ALO,14,Aston Martin,8.0,0 days 00:01:17.391000,1.0,HARD,9.0,0 days 01:11:19.655000,1,True,25.4,40.9,44.0,1013.5,False,0.8,359
OCO,31,Alpine,8.0,0 days 00:01:18.533000,1.0,MEDIUM,8.0,0 days 01:11:25.709000,1,True,25.4,40.9,44.0,1013.5,False,0.8,359
SAI,55,Ferrari,8.0,0 days 00:01:18.637000,1.0,HARD,8.0,0 days 01:11:26.804000,1,True,25.4,40.9,44.0,1013.5,False,0.8,359
HAM,44,Mercedes,8.0,0 days 00:01:19.051000,1.0,MEDIUM,8.0,0 days 01:11:28.115000,1,True,25.4,40.9,44.0,1013.5,False,0.8,359
LEC,16,Ferrari,8.0,0 days 00:01:19.165000,1.0,HARD,8.0,0 days 01:11:28.654000,1,True,25.4,40.9,44.0,1013.5,False,0.8,359
GAS,10,Alpine,8.0,0 days 00:01:19.317000,1.0,HARD,8.0,0 days 01:11:29.732000,1,True,25.4,40.9,44.0,1013.5,False,0.8,359
RUS,63,Mercedes,8.0,0 days 00:01:18.990000,1.0,HARD,8.0,0 days 01:11:31.428000,1,True,25.4,40.9,44.0,1013.5,False,0.8,359
TSU,22,AlphaTauri,8.0,0 days 00:01:18.951000,1.0,MEDIUM,8.0,0 days 01:11:32.853000,1,True,25.4,40.9,44.0,1013.5,False,0.8,359
NOR,4,McLaren,8.0,0 days 00:01:18.651000,1.0,MEDIUM,8.0,0 days 01:11:34.645000,1,True,25.4,40.9,44.0,1013.5,False,0.8,359
PIA,81,McLaren,8.0,0 days 00:01:18.828000,1.0,HARD,8.0,0 days 01:11:36.834000,1,True,25.4,40.9,44.0,1013.5,False,0.8,359
DEV,21,AlphaTauri,8.0,0 days 00:01:18.743000,1.0,MEDIUM,8.0,0 days 01:11:37.418000,1,True,25.4,40.9,44.0,1013.5,False,0.8,359
ALB,23,Williams,8.0,0 days 00:01:18.796000,1.0,MEDIUM,8.0,0 days 01:11:37.956000,1,True,25.4,40.9,44.0,1013.5,False,0.8,359
BOT,77,Alfa Romeo,8.0,0 days 00:01:18.774000,1.0,HARD,8.0,0 days 01:11:38.969000,1,True,25.4,40.9,44.0,1013.5,False,0.8,359
SAR,2,Williams,8.0,0 days 00:01:18.947000,1.0,MEDIUM,8.0,0 days 01:11:39.774000,1,True,25.4,40.9,44.0,1013.5,False,0.8,359
MAG,20,Haas F1 Team,8.0,0 days 00:01:19.052000,1.0,HARD,8.0,0 days 01:11:41.221000,1,True,25.4,40.9,44.0,1013.5,False,0.8,359
STR,18,Aston Martin,8.0,0 days 00:01:18.733000,1.0,HARD,9.0,0 days 01:11:42.314000,1,True,25.4,40.9,44.0,1013.5,False,0.8,359
PER,11,Red Bull Racing,8.0,0 days 00:01:17.937000,2.0,HARD,7.0,0 days 01:11:44.139000,1,True,25.4,40.9,44.0,1013.5,False,0.8,359
